Date,Effect,Account,Amount,Type,Transaction ID
8/17/24,CREDIT,Retained Earnings,8642.93,Equity,1077
2/8/24,DEBIT,Cash,6475.03,Asset,1078
2/8/24,CREDIT,Inventory,6475.03,Asset,1079
12/10/24,DEBIT,Accounts Receivable,6813.72,Asset,1080
12/10/24,CREDIT,Accounts Payable,6813.72,Liability,1081
10/15/24,DEBIT,Sales Revenue,7925.62,Asset,1082
10/15/24,CREDIT,Cost of Goods Sold Expense,7925.62,Asset,1083
5/25/24,DEBIT,Salaries Expense,398.84,Asset,1084
5/25/24,CREDIT,Salaries Payable,398.84,Liability,1085
12/14/24,DEBIT,Utilities Expense,1353.42,Asset,1086
12/14/24,CREDIT,Common Stock,1353.42,Equity,1087
7/4/24,DEBIT,Retained Earnings,8610.26,Equity,1088
7/4/24,CREDIT,Cash,8610.26,Asset,1089
3/5/24,DEBIT,Inventory,6113.78,Asset,1090
3/5/24,CREDIT,Accounts Receivable,6113.78,Asset,1091
3/10/24,DEBIT,Accounts Payable,8041.09,Liability,1092
3/10/24,CREDIT,Sales Revenue,8041.09,Asset,1093
4/17/24,DEBIT,Cost of Goods Sold Expense,4059.43,Asset,1094
4/17/24,CREDIT,Salaries Expense,4059.43,Asset,1095
11/10/24,DEBIT,Salaries Payable,4796.11,Liability,1096
11/10/24,CREDIT,Utilities Expense,4796.11,Asset,1097
12/28/24,DEBIT,Common Stock,2158.23,Equity,1098
12/28/24,CREDIT,Retained Earnings,2158.23,Equity,1099
12/4/24,DEBIT,Cash,2766.69,Asset,1100
12/4/24,CREDIT,Inventory,2766.69,Asset,1101
5/13/24,DEBIT,Accounts Receivable,4572.46,Asset,1102
5/13/24,CREDIT,Accounts Payable,4572.46,Liability,1103
10/21/24,DEBIT,Sales Revenue,8662.43,Asset,1104
10/21/24,CREDIT,Cost of Goods Sold Expense,8662.43,Asset,1105
4/5/24,DEBIT,Salaries Expense,2806.82,Asset,1106
4/5/24,CREDIT,Salaries Payable,2806.82,Liability,1107
7/25/24,DEBIT,Utilities Expense,4591.45,Asset,1108
7/25/24,CREDIT,Common Stock,4591.45,Equity,1109
7/4/24,DEBIT,Retained Earnings,918.21,Equity,1110
7/4/24,CREDIT,Cash,918.21,Asset,1111
4/2/24,DEBIT,Inventory,8327.7,Asset,1112
4/2/24,CREDIT,Accounts Receivable,8327.7,Asset,1113
10/20/24,DEBIT,Accounts Payable,173.51,Liability,1114
10/20/24,CREDIT,Sales Revenue,173.51,Asset,1115
10/20/24,DEBIT,Cost of Goods Sold Expense,1018.68,Asset,1116
10/20/24,CREDIT,Salaries Expense,1018.68,Asset,1117
7/13/24,DEBIT,Salaries Payable,6928.65,Liability,1118
7/13/24,CREDIT,Utilities Expense,6928.65,Asset,1119
9/1/24,DEBIT,Common Stock,6531.47,Equity,1120
9/1/24,CREDIT,Retained Earnings,6531.47,Equity,1121
5/8/24,DEBIT,Cash,8166.45,Asset,1122
5/8/24,CREDIT,Inventory,8166.45,Asset,1123
1/11/24,DEBIT,Accounts Receivable,6167.9,Asset,1124
1/11/24,CREDIT,Accounts Payable,6167.9,Liability,1125
4/23/24,DEBIT,Sales Revenue,6224.23,Asset,1126
4/23/24,CREDIT,Cost of Goods Sold Expense,6224.23,Asset,1127
11/18/24,DEBIT,Salaries Expense,5218.02,Asset,1128
11/18/24,CREDIT,Salaries Payable,5218.02,Liability,1129
9/21/24,DEBIT,Utilities Expense,8290.86,Asset,1130
9/21/24,CREDIT,Common Stock,8290.86,Equity,1131
1/11/24,DEBIT,Retained Earnings,7290.15,Equity,1132
1/11/24,CREDIT,Cash,7290.15,Asset,1133
2/28/24,DEBIT,Inventory,878.06,Asset,1134
2/28/24,CREDIT,Accounts Receivable,878.06,Asset,1135
5/9/24,DEBIT,Accounts Payable,8672.59,Liability,1136
5/9/24,CREDIT,Sales Revenue,8672.59,Asset,1137
12/13/24,DEBIT,Cost of Goods Sold Expense,1528.71,Asset,1138
12/13/24,CREDIT,Salaries Expense,1528.71,Asset,1139
9/4/24,DEBIT,Salaries Payable,3259.97,Liability,1140
9/4/24,CREDIT,Utilities Expense,3259.97,Asset,1141
10/9/24,DEBIT,Common Stock,778.51,Equity,1142
10/9/24,CREDIT,Retained Earnings,778.51,Equity,1143
6/20/24,DEBIT,Cash,7041.12,Asset,1144
6/20/24,CREDIT,Inventory,7041.12,Asset,1145
9/28/24,DEBIT,Accounts Receivable,3048.84,Asset,1146
9/28/24,CREDIT,Accounts Payable,3048.84,Liability,1147
8/12/24,DEBIT,Sales Revenue,1981.11,Asset,1148
8/12/24,CREDIT,Cost of Goods Sold Expense,1981.11,Asset,1149
11/24/24,DEBIT,Salaries Expense,9226.81,Asset,1150
11/24/24,CREDIT,Salaries Payable,9226.81,Liability,1151
10/11/24,DEBIT,Utilities Expense,690.7,Asset,1152
10/11/24,CREDIT,Common Stock,690.7,Equity,1153
8/28/24,DEBIT,Retained Earnings,5254.56,Equity,1154
8/28/24,CREDIT,Cash,5254.56,Asset,1155
12/28/24,DEBIT,Inventory,4357,Asset,1156
12/28/24,CREDIT,Accounts Receivable,4357,Asset,1157
3/10/24,DEBIT,Accounts Payable,1219.4,Liability,1158
3/10/24,CREDIT,Sales Revenue,1219.4,Asset,1159
12/12/24,DEBIT,Cost of Goods Sold Expense,7963.42,Asset,1160
12/12/24,CREDIT,Salaries Expense,7963.42,Asset,1161
1/6/24,DEBIT,Salaries Payable,182.92,Liability,1162
1/6/24,CREDIT,Utilities Expense,182.92,Asset,1163
6/15/24,DEBIT,Common Stock,4618.69,Equity,1164
6/15/24,CREDIT,Retained Earnings,4618.69,Equity,1165
2/24/24,DEBIT,Cash,189.86,Asset,1166
2/24/24,CREDIT,Inventory,189.86,Asset,1167
8/12/24,DEBIT,Accounts Receivable,7116.62,Asset,1168
8/12/24,CREDIT,Accounts Payable,7116.62,Liability,1169
4/14/24,DEBIT,Sales Revenue,9728.59,Asset,1170
4/14/24,CREDIT,Cost of Goods Sold Expense,9728.59,Asset,1171
8/12/24,DEBIT,Salaries Expense,763.26,Asset,1172
8/12/24,CREDIT,Salaries Payable,763.26,Liability,1173
1/9/24,DEBIT,Utilities Expense,4854.71,Asset,1174
1/9/24,CREDIT,Common Stock,4854.71,Equity,1175
8/8/24,DEBIT,Retained Earnings,2827.54,Equity,1176
8/8/24,CREDIT,Cash,2827.54,Asset,1177
10/17/24,DEBIT,Inventory,9183.11,Asset,1178
10/17/24,CREDIT,Accounts Receivable,9183.11,Asset,1179
8/27/24,DEBIT,Accounts Payable,9468.48,Liability,1180
8/27/24,CREDIT,Sales Revenue,9468.48,Asset,1181
9/7/24,DEBIT,Cost of Goods Sold Expense,6594,Asset,1182
9/7/24,CREDIT,Salaries Expense,6594,Asset,1183
10/19/24,DEBIT,Salaries Payable,9481.2,Liability,1184
10/19/24,CREDIT,Utilities Expense,9481.2,Asset,1185
11/13/24,DEBIT,Common Stock,3300.44,Equity,1186
11/13/24,CREDIT,Retained Earnings,3300.44,Equity,1187
2/27/24,DEBIT,Cash,3910.69,Asset,1188
2/27/24,CREDIT,Inventory,3910.69,Asset,1189
3/13/24,DEBIT,Accounts Receivable,454.32,Asset,1190
3/13/24,CREDIT,Accounts Payable,454.32,Liability,1191
9/5/24,DEBIT,Sales Revenue,8976.7,Asset,1192
9/5/24,CREDIT,Cost of Goods Sold Expense,8976.7,Asset,1193
9/26/24,DEBIT,Salaries Expense,6917.52,Asset,1194
9/26/24,CREDIT,Salaries Payable,6917.52,Liability,1195
10/28/24,DEBIT,Utilities Expense,1787.17,Asset,1196
10/28/24,CREDIT,Common Stock,1787.17,Equity,1197
10/5/24,DEBIT,Retained Earnings,2574.43,Equity,1198
10/5/24,CREDIT,Cash,2574.43,Asset,1199
10/28/24,DEBIT,Inventory,1002.08,Asset,1200
10/28/24,CREDIT,Accounts Receivable,1002.08,Asset,1201
11/26/24,DEBIT,Accounts Payable,7464.88,Liability,1202
11/26/24,CREDIT,Sales Revenue,7464.88,Asset,1203
6/4/24,DEBIT,Cost of Goods Sold Expense,8787.43,Asset,1204
6/4/24,CREDIT,Salaries Expense,8787.43,Asset,1205
7/28/24,DEBIT,Salaries Payable,3008.44,Liability,1206
7/28/24,CREDIT,Utilities Expense,3008.44,Asset,1207
11/3/24,DEBIT,Common Stock,840.49,Equity,1208
11/3/24,CREDIT,Retained Earnings,840.49,Equity,1209
3/19/24,DEBIT,Cash,5844.56,Asset,1210
3/19/24,CREDIT,Inventory,5844.56,Asset,1211
5/24/24,DEBIT,Accounts Receivable,5949.15,Asset,1212
5/24/24,CREDIT,Accounts Payable,5949.15,Liability,1213
1/5/24,DEBIT,Sales Revenue,6449.56,Asset,1214
1/5/24,CREDIT,Cost of Goods Sold Expense,6449.56,Asset,1215
5/12/24,DEBIT,Salaries Expense,4796.29,Asset,1216
5/12/24,CREDIT,Salaries Payable,4796.29,Liability,1217
3/2/24,DEBIT,Utilities Expense,5271.75,Asset,1218
3/2/24,CREDIT,Common Stock,5271.75,Equity,1219
5/12/24,DEBIT,Retained Earnings,6194.39,Equity,1220
5/12/24,CREDIT,Cash,6194.39,Asset,1221
9/13/24,DEBIT,Inventory,114.95,Asset,1222
9/13/24,CREDIT,Accounts Receivable,114.95,Asset,1223
3/25/24,DEBIT,Accounts Payable,209.88,Liability,1224
3/25/24,CREDIT,Sales Revenue,209.88,Asset,1225
11/17/24,DEBIT,Cost of Goods Sold Expense,6693.28,Asset,1226
11/17/24,CREDIT,Salaries Expense,6693.28,Asset,1227
2/28/24,DEBIT,Salaries Payable,7704.45,Liability,1228
2/28/24,CREDIT,Utilities Expense,7704.45,Asset,1229
10/16/24,DEBIT,Common Stock,4392.04,Equity,1230
10/16/24,CREDIT,Retained Earnings,4392.04,Equity,1231
2/7/24,DEBIT,Cash,4647.88,Asset,1232
2/7/24,CREDIT,Inventory,4647.88,Asset,1233
8/6/24,DEBIT,Accounts Receivable,6427.61,Asset,1234
8/6/24,CREDIT,Accounts Payable,6427.61,Liability,1235
9/6/24,DEBIT,Sales Revenue,2492.72,Asset,1236
9/6/24,CREDIT,Cost of Goods Sold Expense,2492.72,Asset,1237
8/11/24,DEBIT,Salaries Expense,7332.11,Asset,1238
8/11/24,CREDIT,Salaries Payable,7332.11,Liability,1239
8/22/24,DEBIT,Utilities Expense,8594.58,Asset,1240
8/22/24,CREDIT,Common Stock,8594.58,Equity,1241
9/25/24,DEBIT,Retained Earnings,3257.94,Equity,1242
9/25/24,CREDIT,Cash,3257.94,Asset,1243
10/28/24,DEBIT,Inventory,1652.32,Asset,1244
10/28/24,CREDIT,Accounts Receivable,1652.32,Asset,1245
12/25/24,DEBIT,Accounts Payable,147.61,Liability,1246
12/25/24,CREDIT,Sales Revenue,147.61,Asset,1247
7/15/24,DEBIT,Cost of Goods Sold Expense,5981.57,Asset,1248
7/15/24,CREDIT,Salaries Expense,5981.57,Asset,1249
2/15/24,DEBIT,Salaries Payable,7514.46,Liability,1250
2/15/24,CREDIT,Utilities Expense,7514.46,Asset,1251
12/7/24,DEBIT,Common Stock,660.23,Equity,1252
12/7/24,CREDIT,Retained Earnings,660.23,Equity,1253
9/26/24,DEBIT,Cash,8542.75,Asset,1254
9/26/24,CREDIT,Inventory,8542.75,Asset,1255
6/20/24,DEBIT,Accounts Receivable,7300.38,Asset,1256
6/20/24,CREDIT,Accounts Payable,7300.38,Liability,1257
7/22/24,DEBIT,Sales Revenue,8079.77,Asset,1258
7/22/24,CREDIT,Cost of Goods Sold Expense,8079.77,Asset,1259
3/1/24,DEBIT,Salaries Expense,5652.15,Asset,1260
3/1/24,CREDIT,Salaries Payable,5652.15,Liability,1261
7/9/24,DEBIT,Utilities Expense,9358.01,Asset,1262
7/9/24,CREDIT,Common Stock,9358.01,Equity,1263
3/25/24,DEBIT,Retained Earnings,5188.98,Equity,1264
3/25/24,CREDIT,Cash,5188.98,Asset,1265
7/15/24,DEBIT,Inventory,4974.04,Asset,1266
7/15/24,CREDIT,Accounts Receivable,4974.04,Asset,1267
11/15/24,DEBIT,Accounts Payable,9262.67,Liability,1268
11/15/24,CREDIT,Sales Revenue,9262.67,Asset,1269
2/6/24,DEBIT,Cost of Goods Sold Expense,8972.46,Asset,1270
2/6/24,CREDIT,Salaries Expense,8972.46,Asset,1271
11/18/24,DEBIT,Salaries Payable,5393.87,Liability,1272
11/18/24,CREDIT,Utilities Expense,5393.87,Asset,1273
6/25/24,DEBIT,Common Stock,2623.57,Equity,1274
6/25/24,CREDIT,Retained Earnings,2623.57,Equity,1275
11/18/24,DEBIT,Cash,5285.66,Asset,1276
11/18/24,CREDIT,Inventory,5285.66,Asset,1277
12/6/24,DEBIT,Accounts Receivable,1974.31,Asset,1278
12/6/24,CREDIT,Accounts Payable,1974.31,Liability,1279
11/18/24,DEBIT,Sales Revenue,2940.9,Asset,1280
11/18/24,CREDIT,Cost of Goods Sold Expense,2940.9,Asset,1281
5/13/24,DEBIT,Salaries Expense,9519.99,Asset,1282
5/13/24,CREDIT,Salaries Payable,9519.99,Liability,1283
6/13/24,DEBIT,Utilities Expense,9741.47,Asset,1284
6/13/24,CREDIT,Common Stock,9741.47,Equity,1285
6/10/24,DEBIT,Retained Earnings,7803.38,Equity,1286
6/10/24,CREDIT,Cash,7803.38,Asset,1287
3/7/24,DEBIT,Inventory,2317.66,Asset,1288
3/7/24,CREDIT,Accounts Receivable,2317.66,Asset,1289
6/14/24,DEBIT,Accounts Payable,4244.3,Liability,1290
6/14/24,CREDIT,Sales Revenue,4244.3,Asset,1291
9/23/24,DEBIT,Cost of Goods Sold Expense,1185.93,Asset,1292
9/23/24,CREDIT,Salaries Expense,1185.93,Asset,1293
7/10/24,DEBIT,Salaries Payable,8330.15,Liability,1294
7/10/24,CREDIT,Utilities Expense,8330.15,Asset,1295
5/1/24,DEBIT,Common Stock,8049.91,Equity,1296
5/1/24,CREDIT,Retained Earnings,8049.91,Equity,1297
2/14/24,DEBIT,Cash,2634.97,Asset,1298
2/14/24,CREDIT,Inventory,2634.97,Asset,1299
8/20/24,DEBIT,Accounts Receivable,4042.16,Asset,1300
8/20/24,CREDIT,Accounts Payable,4042.16,Liability,1301
1/2/24,DEBIT,Sales Revenue,3410.19,Asset,1302
1/2/24,CREDIT,Cost of Goods Sold Expense,3410.19,Asset,1303
3/15/24,DEBIT,Salaries Expense,8394.42,Asset,1304
3/15/24,CREDIT,Salaries Payable,8394.42,Liability,1305
11/21/24,DEBIT,Utilities Expense,3542.86,Asset,1306
11/21/24,CREDIT,Common Stock,3542.86,Equity,1307
1/14/24,DEBIT,Retained Earnings,4170.8,Equity,1308
1/14/24,CREDIT,Cash,4170.8,Asset,1309
11/26/24,DEBIT,Inventory,2299.55,Asset,1310
11/26/24,CREDIT,Accounts Receivable,2299.55,Asset,1311
6/28/24,DEBIT,Accounts Payable,292.14,Liability,1312
6/28/24,CREDIT,Sales Revenue,292.14,Asset,1313
3/12/24,DEBIT,Cost of Goods Sold Expense,9053,Asset,1314
3/12/24,CREDIT,Salaries Expense,9053,Asset,1315
11/4/24,DEBIT,Salaries Payable,9893.3,Liability,1316
11/4/24,CREDIT,Utilities Expense,9893.3,Asset,1317
3/28/24,DEBIT,Common Stock,6778.69,Equity,1318
3/28/24,CREDIT,Retained Earnings,6778.69,Equity,1319
12/15/24,DEBIT,Cash,1307.09,Asset,1320
12/15/24,CREDIT,Inventory,1307.09,Asset,1321
11/8/24,DEBIT,Accounts Receivable,9667.14,Asset,1322
11/8/24,CREDIT,Accounts Payable,9667.14,Liability,1323
7/28/24,DEBIT,Sales Revenue,2938.96,Asset,1324
7/28/24,CREDIT,Cost of Goods Sold Expense,2938.96,Asset,1325
2/5/24,DEBIT,Salaries Expense,2835.05,Asset,1326
2/5/24,CREDIT,Salaries Payable,2835.05,Liability,1327
9/12/24,DEBIT,Utilities Expense,287.18,Asset,1328
9/12/24,CREDIT,Common Stock,287.18,Equity,1329
1/4/24,DEBIT,Retained Earnings,5700.12,Equity,1330
1/4/24,CREDIT,Cash,5700.12,Asset,1331
5/4/24,DEBIT,Inventory,115.07,Asset,1332
5/4/24,CREDIT,Accounts Receivable,115.07,Asset,1333
10/26/24,DEBIT,Accounts Payable,977.1,Liability,1334
10/26/24,CREDIT,Sales Revenue,977.1,Asset,1335
1/17/24,DEBIT,Cost of Goods Sold Expense,8010.26,Asset,1336
1/17/24,CREDIT,Salaries Expense,8010.26,Asset,1337
3/7/24,DEBIT,Salaries Payable,3361.62,Liability,1338
3/7/24,CREDIT,Utilities Expense,3361.62,Asset,1339
7/11/24,DEBIT,Common Stock,3405.06,Equity,1340
7/11/24,CREDIT,Retained Earnings,3405.06,Equity,1341
8/8/24,DEBIT,Cash,7051.51,Asset,1342
8/8/24,CREDIT,Inventory,7051.51,Asset,1343
10/4/24,DEBIT,Accounts Receivable,4161.38,Asset,1344
10/4/24,CREDIT,Accounts Payable,4161.38,Liability,1345
2/10/24,DEBIT,Sales Revenue,3488.51,Asset,1346
2/10/24,CREDIT,Cost of Goods Sold Expense,3488.51,Asset,1347
8/21/24,DEBIT,Salaries Expense,8093.36,Asset,1348
8/21/24,CREDIT,Salaries Payable,8093.36,Liability,1349
1/2/24,DEBIT,Utilities Expense,3478.24,Asset,1350
1/2/24,CREDIT,Common Stock,3478.24,Equity,1351
8/11/24,DEBIT,Retained Earnings,3223.73,Equity,1352
8/11/24,CREDIT,Cash,3223.73,Asset,1353
8/18/24,DEBIT,Inventory,1968.85,Asset,1354
8/18/24,CREDIT,Accounts Receivable,1968.85,Asset,1355
8/23/24,DEBIT,Accounts Payable,3043.14,Liability,1356
8/23/24,CREDIT,Sales Revenue,3043.14,Asset,1357
6/21/24,DEBIT,Cost of Goods Sold Expense,861.69,Asset,1358
6/21/24,CREDIT,Salaries Expense,861.69,Asset,1359
3/16/24,DEBIT,Salaries Payable,1771.79,Liability,1360
3/16/24,CREDIT,Utilities Expense,1771.79,Asset,1361
10/23/24,DEBIT,Common Stock,4916.3,Equity,1362
10/23/24,CREDIT,Retained Earnings,4916.3,Equity,1363
9/8/24,DEBIT,Cash,8894.29,Asset,1364
9/8/24,CREDIT,Inventory,8894.29,Asset,1365
6/7/24,DEBIT,Accounts Receivable,1853.86,Asset,1366
6/7/24,CREDIT,Accounts Payable,1853.86,Liability,1367
10/18/24,DEBIT,Sales Revenue,8547.94,Asset,1368
10/18/24,CREDIT,Cost of Goods Sold Expense,8547.94,Asset,1369
2/8/24,DEBIT,Salaries Expense,5301.64,Asset,1370
2/8/24,CREDIT,Salaries Payable,5301.64,Liability,1371
10/10/24,DEBIT,Utilities Expense,4925.58,Asset,1372
10/10/24,CREDIT,Common Stock,4925.58,Equity,1373
6/9/24,DEBIT,Retained Earnings,4448.21,Equity,1374
6/9/24,CREDIT,Cash,4448.21,Asset,1375
12/7/24,DEBIT,Inventory,1607.91,Asset,1376
12/7/24,CREDIT,Accounts Receivable,1607.91,Asset,1377
5/2/24,DEBIT,Accounts Payable,4233.99,Liability,1378
5/2/24,CREDIT,Sales Revenue,4233.99,Asset,1379
1/26/24,DEBIT,Cost of Goods Sold Expense,1433.87,Asset,1380
1/26/24,CREDIT,Salaries Expense,1433.87,Asset,1381
3/5/24,DEBIT,Salaries Payable,2370.97,Liability,1382
3/5/24,CREDIT,Utilities Expense,2370.97,Asset,1383
4/17/24,DEBIT,Common Stock,644.93,Equity,1384
4/17/24,CREDIT,Retained Earnings,644.93,Equity,1385
5/6/24,DEBIT,Cash,8055.87,Asset,1386
5/6/24,CREDIT,Inventory,8055.87,Asset,1387
9/22/24,DEBIT,Accounts Receivable,5244.77,Asset,1388
9/22/24,CREDIT,Accounts Payable,5244.77,Liability,1389
1/28/24,DEBIT,Sales Revenue,5079.82,Asset,1390
1/28/24,CREDIT,Cost of Goods Sold Expense,5079.82,Asset,1391
7/5/24,DEBIT,Salaries Expense,2539.53,Asset,1392
7/5/24,CREDIT,Salaries Payable,2539.53,Liability,1393
8/28/24,DEBIT,Utilities Expense,7070.19,Asset,1394
8/28/24,CREDIT,Common Stock,7070.19,Equity,1395
6/4/24,DEBIT,Retained Earnings,2135.78,Equity,1396
6/4/24,CREDIT,Cash,2135.78,Asset,1397
11/13/24,DEBIT,Inventory,5943.09,Asset,1398
11/13/24,CREDIT,Accounts Receivable,5943.09,Asset,1399
7/21/24,DEBIT,Accounts Payable,1501.71,Liability,1400
7/21/24,CREDIT,Sales Revenue,1501.71,Asset,1401
2/7/24,DEBIT,Cost of Goods Sold Expense,9671.46,Asset,1402
2/7/24,CREDIT,Salaries Expense,9671.46,Asset,1403
1/19/24,DEBIT,Salaries Payable,6565.96,Liability,1404
1/19/24,CREDIT,Utilities Expense,6565.96,Asset,1405
4/17/24,DEBIT,Common Stock,9933.73,Equity,1406
4/17/24,CREDIT,Retained Earnings,9933.73,Equity,1407
9/16/24,DEBIT,Cash,933.05,Asset,1408
9/16/24,CREDIT,Inventory,933.05,Asset,1409
5/11/24,DEBIT,Accounts Receivable,7578.43,Asset,1410
5/11/24,CREDIT,Accounts Payable,7578.43,Liability,1411
9/18/24,DEBIT,Sales Revenue,288.23,Asset,1412
9/18/24,CREDIT,Cost of Goods Sold Expense,288.23,Asset,1413
6/27/24,DEBIT,Salaries Expense,2858.01,Asset,1414
6/27/24,CREDIT,Salaries Payable,2858.01,Liability,1415
3/12/24,DEBIT,Utilities Expense,1597.67,Asset,1416
3/12/24,CREDIT,Common Stock,1597.67,Equity,1417
4/22/24,DEBIT,Retained Earnings,2818.47,Equity,1418
4/22/24,CREDIT,Cash,2818.47,Asset,1419
6/20/24,DEBIT,Inventory,1237.09,Asset,1420
6/20/24,CREDIT,Accounts Receivable,1237.09,Asset,1421
12/17/24,DEBIT,Accounts Payable,915.06,Liability,1422
12/17/24,CREDIT,Sales Revenue,915.06,Asset,1423
11/23/24,DEBIT,Cost of Goods Sold Expense,898.18,Asset,1424
11/23/24,CREDIT,Salaries Expense,898.18,Asset,1425
4/15/24,DEBIT,Salaries Payable,7928.86,Liability,1426
4/15/24,CREDIT,Utilities Expense,7928.86,Asset,1427
5/5/24,DEBIT,Common Stock,6633.76,Equity,1428
5/5/24,CREDIT,Retained Earnings,6633.76,Equity,1429
6/23/24,DEBIT,Cash,2067.82,Asset,1430
6/23/24,CREDIT,Inventory,2067.82,Asset,1431
10/2/24,DEBIT,Accounts Receivable,9946.78,Asset,1432
10/2/24,CREDIT,Accounts Payable,9946.78,Liability,1433
7/11/24,DEBIT,Sales Revenue,5521.88,Asset,1434
7/11/24,CREDIT,Cost of Goods Sold Expense,5521.88,Asset,1435
6/26/24,DEBIT,Salaries Expense,7729.68,Asset,1436
6/26/24,CREDIT,Salaries Payable,7729.68,Liability,1437
12/28/24,DEBIT,Utilities Expense,6447.14,Asset,1438
12/28/24,CREDIT,Common Stock,6447.14,Equity,1439
3/13/24,DEBIT,Retained Earnings,4449.21,Equity,1440
3/13/24,CREDIT,Cash,4449.21,Asset,1441
